Time,Value
63.6,10.66941
63.65,10.61974
63.7,10.62744
63.75,10.66205
63.8,10.39452
63.85,9.963473
63.9,9.650288
63.95,9.548209
64,9.575441
64.05,9.60673
64.1,9.767256
64.15,9.974836
64.2,9.966738
64.25,9.72646
64.3,9.753675
64.35,9.782223
64.4,9.653147
64.45,9.304435
64.5,8.868777
64.55,8.469017
64.6,8.205176
64.65,8.256418
64.7,8.671836
64.75,9.050933
64.8,8.961144
64.85,8.632836
64.9,8.234098
64.95,7.814331
65,7.560266
65.05,7.467828
65.1,7.523131
65.15,7.522669
65.2,7.343486
65.25,7.244697
65.3,7.304061
65.35,7.361153
65.4,7.487844
65.45,7.55804
65.5,7.500003
65.55,7.41529
65.6,7.336784
65.65,7.271111
65.7,7.306433
65.75,7.202382
65.8,7.215501
65.85,7.035289
65.9,6.705653
65.95,6.493065
66,6.429072
66.05,6.392867
66.1,6.303887
66.15,6.159783
66.2,5.799267
66.25,5.805868
66.3,5.807906
66.35,5.894691
66.4,6.033889
66.45,6.066154
66.5,5.916409
66.55,5.679624
66.6,5.401926
66.65,5.392316
66.7,5.773334
66.75,6.060236
66.8,6.162313
66.85,6.034261
66.9,5.887924
66.95,5.380225
67,4.973847
67.05,4.841821
67.1,4.991065
67.15,5.086283
67.2,4.993237
67.25,4.739294
67.3,4.53401
67.35,4.310627
67.4,3.94814
67.45,3.787098
67.5,3.577764
67.55,3.522907
67.6,3.616862
67.65,3.85706
67.7,3.952404
67.75,4.20655
67.8,4.438776
67.85,4.519405
67.9,4.352636
67.95,4.150759
68,4.028327
68.05,3.918479
68.1,3.795104
68.15,3.589388
68.2,3.642615
68.25,3.603888
68.3,3.462291
68.35,3.216202
68.4,3.218301
68.45,3.302211
68.5,3.426199
68.55,3.412308
68.6,3.377819
68.65,3.308867
68.7,3.12643
68.75,2.900891
68.8,2.699035
68.85,2.672012
68.9,2.713603
68.95,2.798522
69,2.831415
69.05,2.878914
69.1,2.907343
69.15,2.874055
69.2,2.645991
69.25,2.513208
69.3,2.533481
69.35,2.509835
69.4,2.393182
69.45,2.28904
69.5,2.20815
69.55,2.130933
69.6,1.913163
69.65,1.789477
69.7,1.914644
69.75,1.996521
69.8,1.971116
69.85,1.907299
69.9,1.73632
69.95,1.580303
70,1.604089
70.05,1.695052
70.1,1.69487
70.15,1.645233
70.2,1.438878
70.25,1.257172
70.3,1.309677
70.35,1.277435
70.4,1.465871
70.45,1.525123
