Data File Name,2100 expert_DNA 12000_DE13806110_2016-10-04_12-15-01.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2016-10-04
Date Created,"Tuesday, October 04, 2016 4:15:00 PM"
Date Last Modified,"Tuesday, October 04, 2016 4:50:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1581
 
Time,Value
38,24.26937
38.05,24.83402
38.1,25.18819
38.15,25.54425
38.2,25.482
38.25,25.54895
38.3,25.57152
38.35,25.74101
38.4,26.01369
38.45,26.288
38.5,26.46559
38.55,26.58175
38.6,26.6653
38.65,26.69866
38.7,26.94777
38.75,27.3114
38.8,27.82549
38.85,27.96446
38.9,28.05524
38.95,27.95315
39,27.98605
39.05,28.27572
39.1,28.72034
39.15,29.23311
39.2,29.69218
39.25,29.96478
39.3,30.14918
39.35,30.40634
39.4,30.4779
39.45,30.9767
39.5,31.19492
39.55,31.02872
39.6,30.86998
39.65,30.8782
39.7,31.1523
39.75,31.70791
39.8,32.32031
39.85,32.8692
39.9,33.37927
39.95,33.57845
40,33.70962
40.05,33.81707
40.1,34.28896
40.15,34.50435
40.2,34.55382
40.25,34.3845
40.3,34.52742
40.35,34.89098
40.4,35.19766
40.45,35.4907
40.5,35.89122
40.55,36.19569
40.6,36.17691
40.65,36.35677
40.7,36.73673
40.75,37.19487
40.8,37.41016
40.85,37.58091
40.9,37.82735
40.95,38.01023
41,38.1085
41.05,38.13445
41.1,38.09254
41.15,38.16429
41.2,38.49737
41.25,38.61889
41.3,39.01326
41.35,39.37513
41.4,39.63991
41.45,39.60459
41.5,39.81699
41.55,39.86609
41.6,40.016
41.65,40.15098
41.7,40.28693
41.75,40.57293
41.8,40.82125
41.85,41.13756
41.9,41.58399
41.95,42.07263
42,42.13624
42.05,42.43544
42.1,42.4497
42.15,42.42118
42.2,42.4898
42.25,42.63488
42.3,42.97142
42.35,43.41241
42.4,43.71376
42.45,43.90787
42.5,44.03672
42.55,44.35543
42.6,44.54399
42.65,44.51165
42.7,44.76879
42.75,44.82668
42.8,44.66801
42.85,44.58594
42.9,44.70115
42.95,45.0136
43,45.33229
43.05,45.4603
43.1,45.64477
43.15,46.05667
43.2,46.14829
43.25,46.3783
43.3,46.68779
43.35,47.06448
43.4,47.22956
43.45,47.37682
43.5,47.44136
43.55,47.42812
43.6,47.36401
43.65,47.38778
43.7,47.6521
43.75,47.84698
43.8,48.15992
43.85,48.38542
43.9,48.38652
43.95,48.54115
44,48.71768
44.05,48.82951
44.1,48.97349
44.15,48.89295
44.2,48.7209
44.25,48.60667
44.3,48.5331
44.35,48.80463
44.4,49.41817
44.45,49.93773
44.5,50.13696
44.55,50.36995
44.6,50.35466
44.65,50.5261
44.7,50.70079
44.75,50.79918
44.8,50.69698
44.85,50.61761
44.9,50.6106
44.95,50.54802
45,50.86869
45.05,51.15602
45.1,51.74037
45.15,52.00984
45.2,52.38901
45.25,52.08015
45.3,51.85044
45.35,51.69984
45.4,51.84748
45.45,51.81261
45.5,51.62056
45.55,51.63872
45.6,51.49715
45.65,51.2774
45.7,51.12074
45.75,51.81388
45.8,52.14259
45.85,52.35893
45.9,52.12703
45.95,52.56466
46,52.90238
46.05,53.12752
46.1,53.29829
46.15,53.27089
46.2,53.0668
46.25,52.75746
46.3,52.64466
46.35,52.51667
46.4,53.14431
46.45,53.24513
46.5,53.19152
46.55,53.03694
46.6,53.05782
46.65,53.37062
46.7,53.6706
46.75,53.75823
46.8,53.8646
46.85,54.06658
46.9,53.86515
46.95,53.43087
47,53.34906
47.05,53.47934
47.1,53.61637
47.15,53.43347
47.2,53.56604
47.25,53.70202
47.3,53.77219
47.35,53.83369
47.4,53.91456
47.45,53.92216
47.5,53.77929
47.55,53.76317
47.6,53.60511
47.65,53.72549
47.7,53.54874
47.75,53.88932
47.8,53.72507
47.85,53.51954
47.9,53.41479
47.95,53.32923
48,53.17315
48.05,52.99055
48.1,52.94242
48.15,53.19419
48.2,53.78952
48.25,53.8689
48.3,54.38426
48.35,54.06219
48.4,54.63762
48.45,55.18892
48.5,55.06127
48.55,54.75933
48.6,54.44377
48.65,53.93316
48.7,53.32484
48.75,52.82503
48.8,52.48876
48.85,52.91265
48.9,52.95527
